COVID-19 Vaccinations in the United States
Date generated: Fri Jul 16 2021 13:26:42 GMT+0200 (Central European Summer Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Dept of Defense,4397410,N/A,N/A,4409614,N/A,4241855,N/A,2494675,N/A,2395708,N/A,1903050,N/A,1837352,N/A,2367810,1843300,186300,0,160607,1782409,2465426,1172,720530,1024833,157686,1,720423,959351,157577,1,1745364,N/A,2395708,N/A,0,1679775,0,2494675,194559,0,141822,0,50783,84782,6257,0,353028,0,0,2492176,0,1902928,0,720502,1024756,157669,1,4407008,0,0
Delaware,1302555,133765,169121,1063514,109217,1007424,130802,577058,59.3,547809,71.1,500817,51.4,477683,62,701295,535460,65800,0,46054,423968,592931,561,189690,265659,45218,250,189591,242659,45183,250,455599,59.3,547809,71.1,46.8,432500,56.2,577058,177210,93.8,158139,83.7,65317,83971,8707,144,335374,177535,689525,576900,68.7,500777,59.6,189686,265631,45210,250,1063324,126615,155102
Florida,25305935,117824,146720,21687158,100975,20896733,121156,11849710,55.2,11394686,66.1,10166351,47.3,9843296,57.1,13339815,10271620,1694500,0,1061013,8614124,11957023,54998,3825560,5279238,1043839,17714,3824481,4958534,1042609,17672,9122512,55.2,11394686,66.1,42.5,8800687,51,11849710,4068075,90.5,3559059,79.1,1758421,1608980,179826,11832,7922863,176168,562687,11842179,63.3,10164891,54.4,3824963,5279098,1043116,17714,21678897,115955,135355
Federated States of Micronesia,78800,76030,97614,53616,51731,53576,66368,32159,31,32114,39.8,27804,26.8,27785,34.4,0,68600,10200,0,6387,47229,0,0,21394,54,6356,0,21390,54,6341,0,21448,31,32114,39.8,20.7,21444,26.6,32159,2604,14.8,2376,13.5,1803,5,568,0,4400,25056,448722,32147,36.3,27797,31.4,21393,54,6350,0,53603,60562,89030
Georgia,11355655,106953,139959,8628869,81271,8276171,102004,4717320,44.4,4498004,55.4,3980303,37.5,3843786,47.4,5922855,4833600,599200,0,228641,3641899,4757265,1064,1641483,2112826,225421,573,1640968,1977160,225119,539,3754882,44.4,4498004,55.4,35.4,3618667,44.6,4717320,1238249,81.6,1085029,71.5,601673,455312,27804,240,2394063,157820,748583,4715602,52.5,3979995,44.3,1641439,2112653,225330,573,8626998,95982,126341
Guam,215770,130164,167116,196106,118301,180054,139454,105299,63.5,96451,74.7,94649,57.1,87472,67.7,122070,74200,19500,0,5105,71223,119778,0,33340,56249,5060,0,33330,49083,5059,0,89589,63.5,96451,74.7,54,82413,63.8,105299,15265,54.3,14245,50.7,6058,7849,338,0,29366,104554,768220,105287,74.4,94644,66.9,33339,56245,5060,0,196089,138518,152421
Hawaii,1958850,138349,175524,1700838,120127,1607848,144072,998788,70.5,938292,84.1,747409,52.8,713305,63.9,1101570,775580,81700,0,37693,594010,975371,93764,259250,431886,38189,18084,258672,398525,38041,18067,709220,70.5,938292,84.1,50.1,675264,60.5,998788,270063,99.9,225857,84.1,94827,121235,8384,1411,485608,180895,729694,994991,82.2,745914,61.6,259203,430483,38155,18073,1696279,140060,161740
Iowa,3508375,111198,144483,3083142,97720,2939709,121064,1644404,52.1,1566835,64.5,1541212,48.8,1476572,60.8,1859055,1460620,188700,0,129531,1299993,1653490,128,630963,783160,126992,97,630828,718716,126931,97,1414220,52.1,1566835,64.5,44.8,1349641,55.6,1644404,491210,88.8,475531,86,252252,211405,11812,62,960853,173767,634479,1644339,61.4,1541189,57.6,630956,783146,126990,97,3083110,115201,131091
Idaho,1714930,95963,128088,1348106,75437,1347549,100649,719041,40.2,717908,53.6,657334,36.8,656657,49,893790,721040,100100,0,53329,576752,716956,1069,267855,336027,53120,332,267839,335387,53100,331,604214,40.2,717908,53.6,33.8,603557,45.1,719041,235941,81.2,223417,76.9,103907,109914,9458,138,457914,157537,589992,719008,48.1,657315,44,267852,336020,53111,332,1348081,90148,114680
Indian Health Svc,1763765,84682,N/A,1465071,70341,1375018,N/A,812029,39,760415,N/A,671521,32.2,633168,N/A,765165,923900,74700,0,26650,776993,661428,0,345044,300027,26450,0,344786,261972,26410,0,645071,39,760415,N/A,31,606758,0,812029,150293,0,126366,0,72122,51510,2734,0,276962,0,0,811693,0,671373,0,344971,299967,26435,0,1464570,0,0
Illinois,14890165,117506,151109,13290265,104880,12472403,126573,7690534,60.7,7194014,73,6010374,47.4,5682071,57.7,8185845,5853620,850700,0,471206,5196575,7610385,12099,2244964,3291334,470024,4052,2238626,2971752,467674,4019,5540350,60.7,7194014,73,43.7,5214397,52.9,7690534,1850763,90.6,1526457,74.7,701338,755382,67658,2079,3335261,163235,728755,7664976,70.7,5996153,55.3,2244921,3277182,469998,4052,13250125,122258,137391
Indiana,6793210,100906,131543,5924769,88006,5661252,109624,3095615,46,2953640,57.2,2915266,43.3,2799027,54.2,3656130,2709580,427500,0,220852,2314786,3370485,18646,1098732,1593825,216616,6093,1098511,1477988,216466,6062,2698650,46,2953640,57.2,40.1,2582561,50,3095615,904075,83.3,880794,81.1,436965,415101,25611,3117,1816697,167323,625674,3095325,54.3,2915160,51.1,1098720,1593747,216600,6093,5924445,103846,119074
Kansas,3133295,107551,141582,2536338,87060,2431097,109852,1459036,50.1,1393540,63,1247097,42.8,1200567,54.2,1588155,1371640,173500,0,85487,1107270,1342828,753,521448,640217,85153,279,521245,593975,85080,267,1161944,50.1,1393540,63,39.9,1115487,50.4,1459036,438919,92.3,379163,79.7,184641,179498,14879,145,787396,165598,658965,1458915,59.5,1247074,50.9,521441,640208,85146,279,2536214,103447,127801
Kentucky,4542995,101686,131118,4082111,91370,3913837,112960,2253021,50.4,2156876,62.3,1991718,44.6,1919488,55.4,2278395,1998100,266500,0,170223,1777837,2133487,564,827292,997203,166552,671,827129,925238,166460,661,1825166,50.4,2156876,62.3,40.9,1753028,50.6,2253021,649322,86.5,593518,79.1,271196,287427,34504,391,1196504,159414,605277,2252681,59.2,1991665,52.3,827282,997182,166531,670,4081052,107222,119359
Louisiana,4125350,88740,115843,3467349,74586,3374289,94752,1835086,39.5,1781597,50,1672304,36,1633559,45.9,2061690,1825560,238100,0,129830,1564314,1771980,1225,726081,822162,123474,587,725786,783824,123366,583,1548830,39.5,1781597,50,33.3,1510193,42.4,1835086,592556,80,566172,76.4,269247,277573,19221,131,1166214,157379,556711,1834911,46.8,1672243,42.6,726065,822137,123454,587,3467147,88373,105150
Massachusetts,9845280,142840,177722,8989629,130426,8417047,151940,4922476,71.4,4606597,83.2,4333539,62.9,4075334,73.6,5455920,3944660,444700,0,297627,3574529,5117262,211,1653277,2381757,298436,69,1648030,2129985,297261,58,4035103,71.4,4606597,83.2,58.5,3778073,68.2,4922476,1129488,96.6,1012211,86.6,460955,486176,65058,22,2076211,177555,841958,4905771,81.5,4322128,71.8,1653269,2370361,298429,69,8961251,148939,163631
Maryland,8607300,142371,182707,7039584,116440,6595263,139997,3817781,63.1,3576931,75.9,3478529,57.5,3277429,69.6,4789080,3377820,440400,0,270476,2714030,4047395,7683,1288003,1925619,262689,2218,1287690,1725028,262552,2159,3215840,63.1,3576931,75.9,53.2,3014877,64,3817781,887016,92.5,836953,87.2,399380,386995,49916,662,1669402,174006,897158,3817344,73.9,3478376,67.4,1287970,1925527,262661,2218,7039220,136343,166715
Maine,1879360,139811,171573,1640525,122044,1554159,141884,904659,67.3,858966,78.4,842539,62.7,802654,73.3,967500,808760,103100,0,106951,690555,842544,475,332216,404788,105412,123,332164,365016,105362,112,737127,67.3,858966,78.4,54.8,697292,63.7,904659,271766,95.3,259181,90.9,118798,118611,21727,45,508917,178401,658812,904565,76.3,842511,71.1,332212,404781,105395,123,1640427,138440,158604
Marshall Islands,51300,87823,112755,34349,58804,34264,75310,18824,32.2,18761,41.2,16512,28.3,16482,36.2,0,40500,10800,0,1034,33315,0,0,15468,11,1033,0,15443,9,1030,0,15479,32.2,18761,41.2,26.5,15452,34,18824,1104,11.2,965,9.8,916,0,49,0,2020,20410,518339,18804,37.7,16503,33.1,15460,11,1032,0,34321,68802,102839
Michigan,11744550,117600,149747,9608785,96214,9142931,116576,5211451,52.2,4958790,63.2,4800032,48.1,4587306,58.5,6151890,4940860,651800,0,332888,3922209,5352290,1398,1888959,2572002,338335,736,1888436,2360013,338137,720,4461697,52.2,4958790,63.2,44.7,4249169,54.2,5211451,1504441,85.2,1431065,81.1,718138,650209,62245,473,2850585,161470,665262,5211125,60.6,4799945,55.8,1888939,2571949,338322,735,9608428,111791,136644
Minnesota,6603590,117093,152280,5971070,105877,5607198,129303,3256799,57.7,3064195,70.7,2982412,52.9,2812248,64.9,3614370,2639920,349300,0,265683,2329912,3374788,687,1103928,1611504,266745,235,1101900,1443867,266255,226,2715667,57.7,3064195,70.7,48.2,2545993,58.7,3256799,845507,91.9,796055,86.5,336553,414129,45314,59,1586366,172360,717484,3245756,67.9,2974407,62.3,1103916,1603529,266727,235,5951779,124564,138206
Missouri,6231435,101532,130725,5243381,85433,5027203,105462,2839144,46.3,2717616,57,2452207,40,2364691,49.6,3369555,2550480,311400,0,176440,1987875,3078553,513,907525,1367576,177003,103,907278,1280472,176847,94,2275204,46.3,2717616,57,37.1,2187844,45.9,2839144,861830,81.1,781050,73.5,357632,389974,33399,45,1648566,155227,586744,2838813,54.2,2452161,46.8,907515,1367555,176988,103,5243051,100140,119018
Northern Mariana Islands,72330,127158,163258,58320,102528,53280,120260,30719,54,27823,62.8,28102,49.4,25955,58.6,49530,20200,2600,0,472,8073,49775,0,3877,23747,478,0,3877,21600,478,0,27624,54,27823,62.8,48.6,25477,57.5,30719,2765,28.7,2669,27.7,435,2165,69,0,5362,55634,750467,30719,63.2,28102,57.9,3877,23747,478,0,58320,120059,148901
Mississippi,2703955,90854,118721,2060045,69218,2009064,88211,1116213,37.5,1085719,47.7,1001141,33.6,980002,43,1342815,1196540,164600,0,61355,929822,1067888,980,435759,504970,60350,62,435598,484048,60295,61,940791,37.5,1085719,47.7,31.6,919707,40.4,1116213,377043,77.5,350694,72.1,182956,152745,14972,21,707992,145470,555577,1116108,44.3,1001112,39.7,435751,504956,60343,62,2059930,81697,107239
Montana,1123165,105089,133680,955240,89377,917338,109182,517372,48.4,496281,59.1,466509,43.6,450101,53.6,552825,500740,69600,0,39242,427174,488155,669,200348,227773,38158,230,200266,211470,38135,230,428351,48.4,496281,59.1,40.1,411966,49,517372,171147,82.9,159889,77.5,77278,74421,8062,128,324002,156950,544072,517270,56.4,466477,50.8,200332,227762,38153,230,955105,104088,122403
North Carolina,11842950,112918,144649,9470597,90299,9016755,110130,5204576,49.6,4946971,60.4,4487926,42.8,4296044,52.5,6306090,4890360,646500,0,353771,3754556,5361832,438,1699931,2440798,347150,47,1697303,2252781,345913,47,4140776,49.6,4946971,60.4,39.5,3950131,48.2,5204576,1464540,83.6,1341484,76.6,648023,652621,40810,30,2814191,160710,676317,5195939,57.8,4482808,49.9,1699838,2435794,347129,47,9456841,105245,131800
North Dakota,726310,95309,124819,651359,85473,627964,107918,339100,44.5,326700,56.1,300870,39.5,291528,50.1,372270,317540,36500,0,29194,277131,345034,0,124230,150441,26198,1,124044,141408,26075,1,274672,44.5,326700,56.1,36,265453,45.6,339100,100075,83.5,89339,74.5,44228,41598,3513,0,194063,161928,606041,338495,53.1,300529,47.2,124225,150108,26195,1,650333,102054,113976
Nebraska,2116950,109437,145162,1893942,97908,1798603,123333,1014054,52.4,961240,65.9,938466,48.5,895778,61.4,1167630,841220,108100,0,69674,749309,1071347,3612,358192,509266,69950,1058,358063,466786,69901,1028,868516,52.4,961240,65.9,44.9,825877,56.6,1014054,276418,88.5,265988,85.1,130532,129168,5597,691,548019,175390,677515,1013834,62.7,938403,58,358172,509239,69935,1057,1893663,117080,130885
New Hampshire,1869240,137473,169245,1567201,115260,1481484,134137,865592,63.7,820376,74.3,781532,57.5,744510,67.4,999180,753360,116700,0,59333,650336,857510,22,315793,405510,60200,29,315548,368780,60153,29,721332,63.7,820376,74.3,53.1,684357,62,865592,240219,94.6,220879,87,94496,112975,13390,18,434506,171157,736316,865151,72.2,781329,65.2,315694,405428,60178,29,1566590,130705,155956
New Jersey,11758315,132381,169340,10087454,113569,9505832,136900,5701639,64.2,5377795,77.4,5038105,56.7,4775273,68.8,6338115,4813900,606300,0,382409,4061634,5643382,29,1923063,2727152,387822,68,1922663,2464946,387605,59,4650283,64.2,5377795,77.4,52.4,4387668,63.2,5701639,1329126,90.1,1215117,82.4,570389,565406,79295,27,2415980,163736,796885,5700969,74.8,5037966,66.1,1923037,2727088,387773,68,10086777,132401,154342
New Mexico,2401765,114543,148166,2431098,115942,2289956,141269,1341566,64,1259443,77.7,1173006,55.9,1107949,68.4,1217325,1045940,138500,0,84763,1064403,1277942,3990,484485,604003,83326,1192,484154,539409,83202,1184,1089680,64,1259443,77.7,52,1024747,63.2,1341566,356192,94.3,322185,85.3,149858,153775,17889,663,658327,174342,636051,1341352,75,1172941,65.6,484468,603966,83315,1192,2430864,135998,134370
Nevada,3160250,102600,132366,2861309,92895,2738752,114711,1582022,51.4,1508951,63.2,1328846,43.1,1281781,53.7,1723230,1252720,184300,0,129626,1110825,1620844,14,506741,694642,127447,16,506660,647696,127409,16,1201399,51.4,1508951,63.2,39,1154372,48.4,1582022,410297,82.7,365358,73.7,173883,169937,21529,9,773266,155909,637183,1581937,60.3,1328812,50.7,506737,694614,127445,16,2861268,109134,120537
New York State,24411425,125486,158256,22359206,114936,21288696,138012,11939514,61.4,11351289,73.6,10830744,55.7,10346688,67.1,13154085,10003440,1253900,0,980811,8879354,12493096,5945,4133796,5767196,928350,1402,4132462,5285043,927827,1356,9902394,61.4,11351289,73.6,50.9,9418861,61.1,11939514,2849580,86.5,2633394,79.9,1264362,1208289,160077,666,5421548,164481,740605,11938207,71.2,10830206,64.6,4133649,5766925,928244,1388,22357430,133292,145538
Ohio,12548075,107349,137723,10862282,92927,10381776,113947,5708388,48.8,5452472,59.8,5333537,45.6,5113676,56.1,6623295,5269280,655500,0,439390,4429966,5979037,13889,2077759,2827743,423805,4230,2077422,2608450,423635,4169,4909732,48.8,5452472,59.8,42,4690041,51.5,5708388,1720768,84.1,1646159,80.4,752581,812378,79029,2171,3363638,164375,613202,5708125,57.1,5333469,53.3,2077749,2827702,423788,4230,10862029,108613,125472
Oklahoma,4060190,102609,135126,3342584,84473,3216768,107057,1814851,45.9,1742733,58,1555049,39.3,1502891,50,2055930,1781960,222300,0,99662,1478518,1764320,84,664169,792667,98170,43,663972,740767,98112,40,1456879,45.9,1742733,58,36.8,1404779,46.8,1814851,537861,84.7,478616,75.4,245658,216102,16842,14,1010529,159105,639267,1814684,54.6,1555000,46.8,664154,792642,98161,43,3342393,100516,122103
Oregon,5697915,135094,170027,4657136,110418,4387682,130930,2514382,59.6,2368263,70.7,2317504,54.9,2193733,65.5,3028755,2358960,310200,0,178773,1826816,2648704,2843,869359,1271039,176512,594,866631,1150776,175752,574,2140992,59.6,2368263,70.7,50.8,2017981,60.2,2514382,665229,86.8,633146,82.6,288633,299501,44725,287,1250028,163172,743775,2506347,68.7,2311798,63.4,869354,1265341,176510,593,4643186,127288,156203
Pennsylvania,15925325,124397,156632,14199798,110919,13534328,133115,8187472,64,7794826,76.7,6525132,51,6256253,61.5,8060085,6804540,1060700,0,551977,5865538,7781807,476,2563398,3406326,555045,363,2561745,3139443,554723,342,5970087,64,7794826,76.7,46.6,5701530,56.1,8187472,2446168,99.9,1979358,82.7,937231,965393,76562,172,4380624,183032,665396,8184475,73.9,6523919,58.9,2563272,3405281,555003,363,14195627,128102,143711
Puerto Rico,4236990,132667,161658,3863437,120971,3615999,137965,2137975,66.9,1997931,76.2,1855232,58.1,1745003,66.6,2222970,1824020,190000,0,110064,1657534,2095498,341,765598,979850,109748,36,765303,870058,109607,35,1745484,66.9,1997931,76.2,54.7,1635396,62.4,2137975,557556,99.9,498810,91.9,253892,225661,19253,4,1034456,190533,780396,2136957,75,1854955,65.1,765553,979660,109706,36,3862184,135596,148755
Rhode Island,1532005,144616,179210,1301351,122843,1229250,143794,695745,65.7,657070,76.9,637844,60.2,605406,70.8,847665,622740,61600,0,47552,512280,741316,203,242563,347716,47527,38,242511,315349,47509,37,590317,65.7,657070,76.9,55.7,557897,65.3,695745,179242,95.8,169859,90.8,77774,86225,5849,11,345504,184716,819053,695626,75,637809,68.8,242559,347686,47526,38,1301255,140298,165177
Republic of Palau,24600,137376,176382,25416,141933,25416,182233,14463,80.8,14462,99.9,13284,74.2,13284,95.2,0,20800,3800,0,2113,23302,1,0,11142,27,2115,0,11142,27,2115,0,11169,80.8,14462,99.9,62.4,11169,80.1,14463,1706,56.2,1664,54.8,1444,9,211,0,3113,102604,810811,14463,94.6,13284,86.9,11142,27,2115,0,25416,166205,160868
South Carolina,5379835,104489,133246,4285522,83235,4132189,102344,2326460,45.2,2238299,55.4,2041964,39.7,1975557,48.9,2733915,2332620,313300,0,152543,1732152,2399741,1086,778896,1113126,149718,224,777083,1049086,149164,224,1892246,45.2,2238299,55.4,36.8,1826393,45.2,2326460,797986,85.2,717338,76.6,305953,386106,25125,154,1498814,159955,574141,2321564,52.5,2039121,46.1,778811,1110410,149676,224,4277712,96781,121716
South Dakota,972315,109908,145653,832485,94102,797163,119415,454099,51.3,433239,64.9,408372,46.2,394054,59,475695,437220,59400,0,26772,361765,443935,13,173500,207948,26908,16,173455,193688,26895,16,381464,51.3,433239,64.9,43.1,367159,55,454099,139226,91.7,130786,86.1,67374,59584,3819,9,262124,172596,640224,454072,61.5,408361,55.3,173498,207940,26907,16,832460,112784,131732
Tennessee,6455540,94529,121365,5576501,81657,5393517,101399,2948603,43.2,2844584,53.5,2610183,38.2,2534256,47.6,3398040,2689700,367800,0,173809,2257612,3130446,14634,1019001,1418983,167852,4347,1018661,1343585,167686,4324,2442331,43.2,2844584,53.5,35.8,2366570,44.5,2948603,913581,79.9,836969,73.2,421708,383777,28936,2548,1792479,156768,564595,2948044,50.5,2610048,44.7,1018984,1418902,167815,4347,5575843,95549,110624
Texas,32341455,111538,149756,26448461,91215,24956300,115559,14340944,49.5,13497697,62.5,12341791,42.6,11631183,53.9,17409255,13037600,1894600,0,1048313,10736137,14663126,885,4839250,6479289,1022561,691,4560618,6106228,963685,651,11324119,49.5,13497697,62.5,39.1,10749987,49.8,14340944,3133497,83.9,2799119,75,1097542,1469503,231917,157,5991576,160450,866081,14336642,59.5,12339323,51.2,4838282,6477993,1022357,691,26443246,109718,134191
